Name,Rgb
Absolute Zero,"(0, 72, 186)"
Acid Green,"(176, 191, 26)"
Alice Blue,"(240, 248, 255)"
Alizarin,"(227, 38, 54)"
Amaranth,"(229, 43, 80)"
Amber,"(255, 191, 0)"
Amethyst,"(153, 102, 204)"
Antique White,"(250, 235, 215)"
Antique White,"(255, 239, 219)"
Antique White,"(238, 223, 204)"
Antique White,"(205, 192, 176)"
Antique White,"(139, 131, 120)"
Apricot,"(251, 206, 177)"
Aqua,"(0, 255, 255)"
Aquamarine,"(127, 255, 212)"
Aquamarine,"(118, 238, 198)"
Aquamarine,"(69, 139, 116)"
Army Green,"(75, 83, 32)"
Arylide Yellow,"(233, 214, 107)"
Ash Grey,"(178, 190, 181)"
Asparagus,"(135, 169, 107)"
Aureolin,"(253, 238, 0)"
Azure,"(240, 255, 255)"
Azure,"(224, 238, 238)"
Azure,"(193, 205, 205)"
Azure,"(131, 139, 139)"
Baby Blue,"(137, 207, 240)"
Baby Pink,"(244, 194, 194)"
Baker Miller,"(255, 145, 175)"
Banana Mania,"(250, 231, 181)"
Banana Yellow,"(255, 225, 53)"
Barn Red,"(124, 10, 2)"
Battleship Gray,"(132, 132, 130)"
Beaver,"(159, 129, 112)"
Beige,"(245, 245, 220)"
Bisque,"(255, 228, 196)"
Bisque,"(238, 213, 183)"
Bisque,"(205, 183, 158)"
Bisque,"(139, 125, 107)"
Bistre,"(61, 43, 31)"
Bitter Lemon,"(202, 224, 13)"
Bitter Lime,"(191, 255, 0)"
Bittersweet,"(254, 111, 94)"
Bittersweet Shimmer,"(191, 79, 81)"
Black,"(0, 0, 0)"
Black Coffee,"(59, 47, 47)"
Black Olive,"(59, 60, 54)"
Black Shadows,"(191, 175, 178)"
Blanched Almond,"(255, 235, 205)"
Bleu France,"(49, 140, 231)"
Blond,"(250, 240, 190)"
Blue Pantone,"(0, 24, 168)"
Blue Bell,"(162, 162, 208)"
Blue Green,"(13, 152, 186)"
Blue,"(0, 0, 255)"
Blue,"(0, 0, 238)"
Blue,"(0, 0, 139)"
Blue Violet,"(138, 43, 226)"
Bole,"(121, 68, 59)"
Bone,"(227, 218, 201)"
Boysenberry,"(135, 50, 96)"
Brandeis Blue,"(0, 112, 255)"
Brass,"(181, 166, 66)"
Brick Red,"(203, 65, 84)"
Bright Cerulean,"(29, 172, 214)"
Bright Green,"(102, 255, 0)"
Bright Lavender,"(191, 148, 228)"
Bright Lilac,"(216, 145, 239)"
Bright Maroon,"(195, 33, 72)"
Bright Navy,"(25, 116, 210)"
Bright Turquoise,"(8, 232, 222)"
Bright Ube,"(209, 159, 232)"
Brilliant Rose,"(255, 85, 163)"
Brink Pink,"(251, 96, 127)"
British Racing,"(0, 66, 37)"
Bronze,"(205, 127, 50)"
Brown,"(165, 42, 42)"
Brown,"(255, 64, 64)"
Brown,"(238, 59, 59)"
Brown,"(205, 51, 51)"
Brown,"(139, 35, 35)"
Brunswick Green,"(27, 77, 62)"
Bubble Gum,"(255, 193, 204)"
Buff,"(240, 220, 130)"
Bulgarian Rose,"(72, 6, 7)"
Burgundy,"(128, 0, 32)"
Burlywood,"(222, 184, 135)"
Burlywood,"(255, 211, 155)"
Burlywood,"(238, 197, 145)"
Burlywood,"(205, 170, 125)"
Burlywood,"(139, 115, 85)"
Burnished Brown,"(161, 122, 116)"
Burnt Orange,"(204, 85, 0)"
Burnt Sienna,"(233, 116, 81)"
Burnt Umber,"(138, 51, 36)"
Byzantine,"(189, 51, 164)"
Byzantium,"(112, 41, 99)"
Cadet Grey,"(145, 163, 176)"
Cadet Blue,"(95, 158, 160)"
Cadet Blue,"(152, 245, 255)"
Cadet Blue,"(142, 229, 238)"
Cadet Blue,"(122, 197, 205)"
Cadet Blue,"(83, 134, 139)"
Cadmium Green,"(0, 107, 60)"
Cadmium Orange,"(237, 135, 45)"
Cadmium Red,"(227, 0, 34)"
Cadmium Yellow,"(255, 246, 0)"
Cambridge Blue,"(163, 193, 173)"
Camel,"(193, 154, 107)"
Cameo Pink,"(239, 187, 204)"
Camouflage Green,"(120, 134, 107)"
Canary,"(255, 255, 153)"
Canary Yellow,"(255, 239, 0)"
Candy Apple,"(255, 8, 0)"
Candy Pink,"(228, 113, 122)"
Caput Mortuum,"(89, 39, 32)"
Cardinal,"(196, 30, 58)"
Caribbean Green,"(0, 204, 153)"
Carmine,"(150, 0, 24)"
Carmine Pink,"(235, 76, 66)"
Carnation Pink,"(255, 166, 201)"
Carnelian,"(179, 27, 27)"
Carolina Blue,"(86, 160, 211)"
Carrot Orange,"(237, 145, 33)"
Castleton Green,"(0, 86, 63)"
Cedar Chest,"(201, 90, 73)"
Celadon,"(172, 225, 175)"
Celadon Green,"(47, 132, 124)"
Celeste,"(178, 255, 255)"
Celtic Blue,"(36, 107, 206)"
Cerise,"(222, 49, 99)"
Cerulean,"(0, 123, 167)"
Cerulean Blue,"(42, 82, 190)"
Cerulean Frost,"(109, 155, 195)"
Cg Blue,"(0, 122, 165)"
Chamoisee,"(160, 120, 90)"
Champagne,"(247, 231, 206)"
Charcoal,"(54, 69, 79)"
Chartreuse,"(127, 255, 0)"
Chartreuse,"(118, 238, 0)"
Chartreuse,"(102, 205, 0)"
Chartreuse,"(69, 139, 0)"
Cherry Blossom,"(255, 183, 197)"
Chestnut,"(149, 69, 53)"
Chocolate,"(210, 105, 30)"
Chocolate,"(255, 127, 36)"
Chocolate,"(238, 118, 33)"
Chocolate,"(205, 102, 29)"
Chrome Yellow,"(255, 167, 0)"
Cinereous,"(152, 129, 123)"
Cinnabar,"(227, 66, 52)"
Citrine,"(228, 208, 10)"
Citron,"(159, 169, 31)"
Claret,"(127, 23, 52)"
Cobalt,"(0, 71, 171)"
Coffee,"(111, 78, 55)"
Cool Grey,"(140, 146, 172)"
Copper,"(184, 115, 51)"
Copper Red,"(203, 109, 81)"
Copper Rose,"(153, 102, 102)"
Coquelicot,"(255, 56, 0)"
Coral,"(255, 127, 80)"
Coral Pink,"(248, 131, 121)"
Coral,"(255, 114, 86)"
Coral,"(238, 106, 80)"
Coral,"(205, 91, 69)"
Coral,"(139, 62, 47)"
Cordovan,"(137, 63, 69)"
Corn,"(251, 236, 93)"
Cornflower Blue,"(100, 149, 237)"
Cornsilk,"(255, 248, 220)"
Cornsilk,"(238, 232, 205)"
Cornsilk,"(205, 200, 177)"
Cornsilk,"(139, 136, 120)"
Cosmic Cobalt,"(46, 45, 136)"
Cosmic Latte,"(255, 248, 231)"
Cotton Candy,"(255, 188, 217)"
Cream,"(255, 253, 208)"
Crimson,"(220, 20, 60)"
Crystal,"(167, 216, 222)"
Cyan,"(0, 255, 255)"
Cyan,"(0, 238, 238)"
Cyan,"(0, 205, 205)"
Cyan,"(0, 139, 139)"
Cyclamen,"(245, 111, 161)"
Daffodil,"(255, 255, 49)"
Dandelion,"(240, 225, 48)"
Dark Brown,"(101, 67, 33)"
Dark Byzantium,"(93, 57, 84)"
Dark Jungle,"(26, 36, 33)"
Dark Lavender,"(115, 79, 150)"
Dark Moss,"(74, 93, 35)"
Dark Pastel,"(3, 192, 60)"
Dark Sienna,"(60, 20, 20)"
Dark Sky,"(140, 190, 214)"
Dark Spring,"(23, 114, 69)"
Dark Goldenrod,"(184, 134, 11)"
Dark Goldenrod,"(255, 185, 15)"
Dark Goldenrod,"(238, 173, 14)"
Dark Goldenrod,"(205, 149, 12)"
Dark Goldenrod,"(139, 101, 8)"
Dark Green,"(0, 100, 0)"
Dark Khaki,"(189, 183, 107)"
Dark Olive,"(85, 107, 47)"
Dark Olive,"(202, 255, 112)"
Dark Olive,"(188, 238, 104)"
Dark Olive,"(162, 205, 90)"
Dark Olive,"(110, 139, 61)"
Dark Orange,"(255, 140, 0)"
Dark Orange,"(255, 127, 0)"
Dark Orange,"(238, 118, 0)"
Dark Orange,"(205, 102, 0)"
Dark Orange,"(139, 69, 0)"
Dark Orchid,"(153, 50, 204)"
Dark Orchid,"(191, 62, 255)"
Dark Orchid,"(178, 58, 238)"
Dark Orchid,"(154, 50, 205)"
Dark Orchid,"(104, 34, 139)"
Dark Salmon,"(233, 150, 122)"
Dark Sea,"(143, 188, 143)"
Dark Sea,"(193, 255, 193)"
Dark Sea,"(180, 238, 180)"
Dark Sea,"(155, 205, 155)"
Dark Sea,"(105, 139, 105)"
Dark Slate,"(72, 61, 139)"
Dark Slate,"(47, 79, 79)"
Dark Slate,"(151, 255, 255)"
Dark Slate,"(141, 238, 238)"
Dark Slate,"(121, 205, 205)"
Dark Slate,"(82, 139, 139)"
Dark Turquoise,"(0, 206, 209)"
Dark Violet,"(148, 0, 211)"
Dartmouth Green,"(0, 112, 60)"
Deep Cerise,"(218, 50, 135)"
Deep Champagne,"(250, 214, 165)"
Deep Fuchsia,"(193, 84, 193)"
Deep Jungle,"(0, 75, 73)"
Deep Peach,"(255, 203, 164)"
Deep Saffron,"(255, 153, 51)"
Deep Space,"(74, 100, 108)"
Deep,"(185, 78, 72)"
Deep Pink,"(255, 20, 147)"
Deep Pink,"(238, 18, 137)"
Deep Pink,"(205, 16, 118)"
Deep Pink,"(139, 10, 80)"
Deep Sky,"(0, 191, 255)"
Deep Sky,"(0, 178, 238)"
Deep Sky,"(0, 154, 205)"
Deep Sky,"(0, 104, 139)"
Denim,"(21, 96, 189)"
Denim Blue,"(34, 67, 182)"
Desert Sand,"(237, 201, 175)"
Dim Gray,"(105, 105, 105)"
Dodger Blue,"(30, 144, 255)"
Dodger Blue,"(28, 134, 238)"
Dodger Blue,"(24, 116, 205)"
Dodger Blue,"(16, 78, 139)"
Dogwood Rose,"(215, 24, 104)"
Dutch White,"(239, 223, 187)"
Earth Yellow,"(225, 169, 95)"
Ebony,"(85, 93, 80)"
Eggplant,"(97, 64, 81)"
Eggshell,"(240, 234, 214)"
Egyptian Blue,"(16, 52, 166)"
Electric Blue,"(125, 249, 255)"
Electric Indigo,"(111, 0, 255)"
Electric Lime,"(204, 255, 0)"
Electric Purple,"(191, 0, 255)"
Emerald,"(80, 200, 120)"
Eminence,"(108, 48, 130)"
Eton Blue,"(150, 200, 162)"
Falu Red,"(128, 24, 24)"
Fawn,"(229, 170, 112)"
Feldgrau,"(77, 93, 83)"
Fern Green,"(79, 121, 66)"
Ferrari Red,"(255, 40, 0)"
Fire Opal,"(233, 92, 75)"
Firebrick,"(178, 34, 34)"
Firebrick,"(255, 48, 48)"
Firebrick,"(238, 44, 44)"
Firebrick,"(205, 38, 38)"
Firebrick,"(139, 26, 26)"
Flamingo Pink,"(252, 142, 172)"
Floral White,"(255, 250, 240)"
Flourescent Blue,"(21, 244, 238)"
Forest Green,"(34, 139, 34)"
Forest Green,"(34, 139, 34)"
French Beige,"(166, 123, 91)"
French Bistre,"(133, 109, 77)"
French Blue,"(0, 114, 187)"
French Lilac,"(134, 96, 142)"
French Mauve,"(212, 115, 212)"
French Pink,"(253, 108, 158)"
French Rose,"(246, 74, 138)"
French Sky,"(119, 181, 254)"
French Violet,"(136, 6, 206)"
Frostbite,"(233, 54, 167)"
Fuchsia Purple,"(204, 57, 123)"
Fuchsia Rose,"(199, 67, 117)"
Fulvous,"(228, 132, 0)"
Fuzzy Wuzzy,"(135, 66, 31)"
G O,"(0, 171, 102)"
Gainsboro,"(220, 220, 220)"
Gamboge,"(228, 155, 15)"
Generic Viridian,"(0, 127, 102)"
Ghost White,"(248, 248, 255)"
Ginger,"(176, 101, 0)"
Glaucous,"(96, 130, 182)"
Glossy Grape,"(171, 146, 179)"
Gold Fusion,"(133, 117, 78)"
Gold,"(255, 215, 0)"
Gold,"(238, 201, 0)"
Gold,"(205, 173, 0)"
Gold,"(139, 117, 0)"
Golden Brown,"(153, 101, 21)"
Golden Poppy,"(252, 194, 0)"
Golden Yellow,"(255, 223, 0)"
Goldenrod,"(218, 165, 32)"
Goldenrod,"(255, 193, 37)"
Goldenrod,"(238, 180, 34)"
Goldenrod,"(205, 155, 29)"
Goldenrod,"(139, 105, 20)"
Granite Gray,"(103, 103, 103)"
Granny Smith,"(168, 228, 160)"
Gray,"(190, 190, 190)"
Gray,"(3, 3, 3)"
Gray,"(26, 26, 26)"
Gray,"(28, 28, 28)"
Gray,"(31, 31, 31)"
Gray,"(33, 33, 33)"
Gray,"(36, 36, 36)"
Gray,"(38, 38, 38)"
Gray,"(41, 41, 41)"
Gray,"(43, 43, 43)"
Gray,"(46, 46, 46)"
Gray,"(48, 48, 48)"
Gray,"(5, 5, 5)"
Gray,"(51, 51, 51)"
Gray,"(54, 54, 54)"
Gray,"(56, 56, 56)"
Gray,"(59, 59, 59)"
Gray,"(61, 61, 61)"
Gray,"(64, 64, 64)"
Gray,"(66, 66, 66)"
Gray,"(69, 69, 69)"
Gray,"(71, 71, 71)"
Gray,"(74, 74, 74)"
Gray,"(8, 8, 8)"
Gray,"(77, 77, 77)"
Gray,"(79, 79, 79)"
Gray,"(82, 82, 82)"
Gray,"(84, 84, 84)"
Gray,"(87, 87, 87)"
Gray,"(89, 89, 89)"
Gray,"(92, 92, 92)"
Gray,"(94, 94, 94)"
Gray,"(97, 97, 97)"
Gray,"(99, 99, 99)"
Gray,"(10, 10, 10)"
Gray,"(102, 102, 102)"
Gray,"(105, 105, 105)"
Gray,"(107, 107, 107)"
Gray,"(110, 110, 110)"
Gray,"(112, 112, 112)"
Gray,"(115, 115, 115)"
Gray,"(117, 117, 117)"
Gray,"(120, 120, 120)"
Gray,"(122, 122, 122)"
Gray,"(125, 125, 125)"
Gray,"(13, 13, 13)"
Gray,"(127, 127, 127)"
Gray,"(130, 130, 130)"
Gray,"(133, 133, 133)"
Gray,"(135, 135, 135)"
Gray,"(138, 138, 138)"
Gray,"(140, 140, 140)"
Gray,"(143, 143, 143)"
Gray,"(145, 145, 145)"
Gray,"(148, 148, 148)"
Gray,"(150, 150, 150)"
Gray,"(15, 15, 15)"
Gray,"(153, 153, 153)"
Gray,"(156, 156, 156)"
Gray,"(158, 158, 158)"
Gray,"(161, 161, 161)"
Gray,"(163, 163, 163)"
Gray,"(166, 166, 166)"
Gray,"(168, 168, 168)"
Gray,"(171, 171, 171)"
Gray,"(173, 173, 173)"
Gray,"(176, 176, 176)"
Gray,"(18, 18, 18)"
Gray,"(179, 179, 179)"
Gray,"(181, 181, 181)"
Gray,"(184, 184, 184)"
Gray,"(186, 186, 186)"
Gray,"(189, 189, 189)"
Gray,"(191, 191, 191)"
Gray,"(194, 194, 194)"
Gray,"(196, 196, 196)"
Gray,"(199, 199, 199)"
Gray,"(201, 201, 201)"
Gray,"(20, 20, 20)"
Gray,"(204, 204, 204)"
Gray,"(207, 207, 207)"
Gray,"(209, 209, 209)"
Gray,"(212, 212, 212)"
Gray,"(214, 214, 214)"
Gray,"(217, 217, 217)"
Gray,"(219, 219, 219)"
Gray,"(222, 222, 222)"
Gray,"(224, 224, 224)"
Gray,"(227, 227, 227)"
Gray,"(23, 23, 23)"
Gray,"(229, 229, 229)"
Gray,"(232, 232, 232)"
Gray,"(235, 235, 235)"
Gray,"(237, 237, 237)"
Gray,"(240, 240, 240)"
Gray,"(242, 242, 242)"
Gray,"(247, 247, 247)"
Gray,"(250, 250, 250)"
Gray,"(252, 252, 252)"
Green Crayola,"(28, 172, 120)"
Green Pantone,"(0, 173, 67)"
Green Pigment,"(0, 165, 80)"
Green Lizard,"(167, 244, 50)"
Green Sheen,"(110, 174, 161)"
Green,"(0, 255, 0)"
Green,"(0, 238, 0)"
Green,"(0, 205, 0)"
Green,"(0, 139, 0)"
Green Yellow,"(173, 255, 47)"
Grullo,"(169, 154, 134)"
Gunmetal,"(42, 52, 57)"
Han Blue,"(68, 108, 207)"
Han Purple,"(82, 24, 250)"
Harlequin,"(63, 255, 0)"
Harvest Gold,"(218, 145, 0)"
Heliotrope,"(223, 115, 255)"
Hollywood Cerise,"(244, 0, 161)"
Honeydew,"(240, 255, 240)"
Honeydew,"(224, 238, 224)"
Honeydew,"(193, 205, 193)"
Honeydew,"(131, 139, 131)"
Honolulu Blue,"(0, 109, 176)"
Hot Magenta,"(255, 29, 206)"
Hot Pink,"(255, 105, 180)"
Hot Pink,"(255, 110, 180)"
Hot Pink,"(238, 106, 167)"
Hot Pink,"(205, 96, 144)"
Hot Pink,"(139, 58, 98)"
Hunter Green,"(53, 94, 59)"
Iceberg,"(113, 166, 210)"
Icterine,"(252, 247, 94)"
Illuminating Emerald,"(49, 145, 119)"
Imperial Red,"(237, 41, 57)"
Inchworm,"(178, 236, 93)"
India Green,"(19, 136, 8)"
Indian Yellow,"(227, 168, 87)"
Indian Red,"(205, 92, 92)"
Indian Red,"(255, 106, 106)"
Indian Red,"(238, 99, 99)"
Indian Red,"(205, 85, 85)"
Indian Red,"(139, 58, 58)"
Indigo,"(75, 0, 130)"
International Orange,"(255, 79, 0)"
Iris,"(90, 79, 207)"
Isabelline,"(244, 240, 236)"
Ivory,"(255, 255, 240)"
Ivory,"(238, 238, 224)"
Ivory,"(205, 205, 193)"
Ivory,"(139, 139, 131)"
Jade,"(0, 168, 107)"
Japanese Carmine,"(157, 41, 51)"
Jasmine,"(248, 222, 126)"
Jazzberry Jam,"(165, 11, 94)"
Jonquil,"(244, 202, 22)"
Jungle Green,"(41, 171, 135)"
Kelly Green,"(76, 187, 23)"
Keppel,"(58, 176, 158)"
Key Lime,"(232, 244, 140)"
Khaki,"(240, 230, 140)"
Khaki,"(255, 246, 143)"
Khaki,"(238, 230, 133)"
Khaki,"(205, 198, 115)"
Khaki,"(139, 134, 78)"
Kombu Green,"(53, 66, 48)"
Languid Lavender,"(214, 202, 221)"
Lapis Lazuli,"(38, 97, 156)"
Laser Lemon,"(255, 255, 102)"
Laurel Green,"(169, 186, 157)"
Lavender,"(230, 230, 250)"
Lavender Floral,"(181, 126, 220)"
Lavender Blue,"(204, 204, 255)"
Lavender Gray,"(196, 195, 208)"
Lavender Blush,"(255, 240, 245)"
Lavender Blush,"(238, 224, 229)"
Lavender Blush,"(205, 193, 197)"
Lavender Blush,"(139, 131, 134)"
Lawn Green,"(124, 252, 0)"
Lemon,"(255, 247, 0)"
Lemon Curry,"(204, 160, 29)"
Lemon Glacier,"(253, 255, 0)"
Lemon Meringue,"(246, 234, 190)"
